Date : 2021-04-20 14:08:31
Directory : c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback
Total : 73 files,  3399 codes, 696 comments, 738 blanks, all 4833 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\.eslintrc.json                                    | JSON       |         19 |          0 |          1 |         20 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\.lintstagedrc.json                                | JSON       |          3 |          0 |          1 |          4 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\.prettierignore                                   | Ignore     |          2 |          0 |          2 |          4 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\.prettierrc.json                                  | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\.travis.yml                                       | YAML       |         20 |          0 |          1 |         21 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\Dockerfile                                        | Docker     |          8 |          0 |          8 |         16 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\README.md                                         | Markdown   |        311 |          0 |        131 |        442 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\docker-compose.dev.yml                            | YAML       |          5 |          0 |          2 |          7 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\docker-compose.prod.yml                           | YAML       |          5 |          0 |          2 |          7 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\docker-compose.test.yml                           | YAML       |          5 |          0 |          2 |          7 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\docker-compose.yml                                | YAML       |         28 |          0 |          5 |         33 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\ecosystem.config.json                             | JSON       |         15 |          0 |          1 |         16 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\jest.config.js                                    | JavaScript |          9 |          0 |          1 |         10 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\package.json                                      | JSON       |         95 |          0 |          1 |         96 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\app.js                                        | JavaScript |         40 |         12 |         16 |         68 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\config\config.js                              | JavaScript |         59 |          0 |          6 |         65 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\config\logger.js                              | JavaScript |         23 |          0 |          4 |         27 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\config\morgan.js                              | JavaScript |         19 |          0 |          6 |         25 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\config\passport.js                            | JavaScript |         26 |          0 |          5 |         31 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\config\roles.js                               | JavaScript |          8 |          0 |          3 |         11 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\config\tokens.js                              | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\controllers\auth.controller.js                | JavaScript |         50 |          0 |         10 |         60 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\controllers\index.js                          | JavaScript |          4 |          0 |          0 |          4 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\controllers\messageGroup.controller.js        | JavaScript |         37 |          0 |          6 |         43 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\controllers\scheduledMessage.controller.js    | JavaScript |         37 |          0 |          6 |         43 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\controllers\user.controller.js                | JavaScript |         37 |          0 |          7 |         44 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\docs\components.yml                           | YAML       |         87 |          0 |          6 |         93 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\docs\swaggerDef.js                            | JavaScript |         19 |          0 |          3 |         22 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\index.js                                      | JavaScript |         33 |          0 |          6 |         39 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\middlewares\auth.js                           | JavaScript |         26 |          0 |          6 |         32 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\middlewares\error.js                          | JavaScript |         36 |          1 |          8 |         45 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\middlewares\rateLimiter.js                    | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\middlewares\validate.js                       | JavaScript |         18 |          0 |          4 |         22 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\models\index.js                               | JavaScript |          4 |          0 |          0 |          4 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\models\messageGroup.model.js                  | JavaScript |         15 |          0 |          5 |         20 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\models\plugins\index.js                       | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\models\plugins\paginate.plugin.js             | JavaScript |         44 |         19 |          8 |         71 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\models\plugins\toJSON.plugin.js               | JavaScript |         31 |          6 |          7 |         44 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\models\scheduledMessage.model.js              | JavaScript |         14 |          0 |          4 |         18 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\models\token.model.js                         | JavaScript |         36 |          4 |          5 |         45 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\models\user.model.js                          | JavaScript |        101 |         15 |          8 |        124 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\routes\v1\auth.route.js                       | JavaScript |         15 |        264 |         13 |        292 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\routes\v1\docs.route.js                       | JavaScript |          8 |         12 |          2 |         22 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\routes\v1\index.js                            | JavaScript |         41 |          2 |          7 |         50 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\routes\v1\messageGroup.route.js               | JavaScript |         15 |          0 |          4 |         19 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\routes\v1\scheduledMessage.route.js           | JavaScript |         15 |          0 |          4 |         19 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\routes\v1\user.route.js                       | JavaScript |         16 |        229 |          8 |        253 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\services\auth.service.js                      | JavaScript |         66 |         27 |          7 |        100 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\services\email.service.js                     | JavaScript |         36 |         22 |          6 |         64 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\services\index.js                             | JavaScript |          6 |          0 |          0 |          6 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\services\messageGroup.service.js              | JavaScript |         38 |          1 |          6 |         45 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\services\scheduledMessage.service.js          | JavaScript |         38 |          1 |          6 |         45 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\services\token.service.js                     | JavaScript |         76 |         37 |         10 |        123 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\services\user.service.js                      | JavaScript |         48 |         36 |          9 |         93 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\utils\ApiError.js                             | JavaScript |         13 |          0 |          2 |         15 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\utils\catchAsync.js                           | JavaScript |          4 |          0 |          2 |          6 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\utils\pick.js                                 | JavaScript |          9 |          7 |          2 |         18 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\validations\auth.validation.js                | JavaScript |         52 |          0 |          9 |         61 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\validations\custom.validation.js              | JavaScript |         19 |          0 |          3 |         22 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\validations\index.js                          | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\validations\messageGroup.validation.js        | JavaScript |         44 |          0 |          6 |         50 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\validations\scheduledMessage.validation.js    | JavaScript |         45 |          0 |          6 |         51 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\src\validations\user.validation.js                | JavaScript |         64 |          0 |          7 |         71 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\fixtures\token.fixture.js                   | JavaScript |         12 |          0 |          3 |         15 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\fixtures\user.fixture.js                    | JavaScript |         40 |          0 |          7 |         47 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\integration\auth.test.js                    | JavaScript |        463 |          0 |        125 |        588 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\integration\docs.test.js                    | JavaScript |         13 |          0 |          2 |         15 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\integration\user.test.js                    | JavaScript |        517 |          0 |        109 |        626 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\unit\middlewares\error.test.js              | JavaScript |        137 |          0 |         32 |        169 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\unit\models\plugins\paginate.plugin.test.js | JavaScript |         49 |          0 |         13 |         62 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\unit\models\plugins\toJSON.plugin.test.js   | JavaScript |         80 |          1 |          9 |         90 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\unit\models\user.model.test.js              | JavaScript |         49 |          0 |          9 |         58 |
| c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback\tests\utils\setupTestDB.js                        | JavaScript |         14 |          0 |          5 |         19 |
| Total                                                                                                                                   |            |      3,399 |        696 |        738 |      4,833 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
